folder,file,expected,expected_gate,verdict,gate,detail
PASS,Black_1.jpg,pass,,fail,expression,Please relax your lips
PASS,Black_2.avif,pass,,pass,-,
PASS,Black_3.jpg,pass,,pass,-,
PASS,East Asian_1.jpeg,pass,,pass,-,
PASS,East Asian_2.webp,pass,,pass,-,
PASS,Indian_1.jpg,pass,,pass,-,
PASS,Indian_2.webp,pass,,fail,expression,Please relax your eyebrows
PASS,Latino Hispanic_1.jpg,pass,,pass,-,
PASS,Latino Hispanic_2.jpg,pass,,pass,-,
PASS,Latino Hispanic_3.avif,pass,,pass,-,
PASS,Middle Eastern_1.avif,pass,,pass,-,
PASS,Middle Eastern_2.jpeg,pass,,pass,-,
PASS,Middle Eastern_3.jpg,pass,,pass,-,
PASS,Southeast Asian_1.jpg,pass,,pass,-,
PASS,Southeast Asian_2.jpg,pass,,pass,-,
PASS,White_1.jpg,pass,,pass,-,
PASS,White_2.webp,pass,,pass,-,
PASS,White_3.png,pass,,pass,-,
PASS,frontal face portrait bright light_1.jpg,pass,,pass,-,
PASS,frontal face portrait bright light_2.png,pass,,pass,-,
PASS,frontal face portrait bright light_3.jpg,pass,,pass,-,
PASS,frontal face portrait bright light_4.jpg,pass,,pass,-,
PASS,frontal face portrait bright light_5.jpg,pass,,pass,-,
PASS,frontal face portrait indoor light_1.avif,pass,,pass,-,
PASS,frontal face portrait indoor light_2.webp,pass,,pass,-,
PASS,frontal face portrait indoor light_3.jpg,pass,,pass,-,
PASS,frontal face portrait indoor light_4.jpg,pass,,pass,-,
PASS,frontal face portrait indoor light_5.webp,pass,,fail,expression,Please relax your lips
PASS,frontal face portrait low light_1.jpg,pass,,pass,-,
PASS,frontal face portrait low light_2.jpg,pass,,pass,-,
PASS,frontal face portrait low light_3.0.jpg,pass,,pass,-,
PASS,frontal face portrait low light_4.jpg,pass,,pass,-,
PASS,frontal face portrait low light_5.jpg,pass,,pass,-,
PASS,frontal face portrait natural light_1.avif,pass,,pass,-,
PASS,frontal face portrait natural light_2.0.jpg,pass,,pass,-,
PASS,frontal face portrait natural light_3.jpg,pass,,pass,-,
PASS,frontal face portrait natural light_4.jpg,pass,,pass,-,
PASS,frontal face portrait natural light_5.jpg,pass,,pass,-,
FAIL,3D character render_1.jpg,fail,not_real,pass,-,
FAIL,3D character render_2.jpg,fail,not_real,pass,-,
FAIL,anime face_1.avif,fail,not_real,fail,not_real,p_photo=0.033
FAIL,anime face_2.jpg,fail,not_real,fail,not_real,p_photo=0.043
FAIL,cartoon face_1.avif,fail,not_real,fail,not_real,p_photo=0.020
FAIL,cartoon face_2.avif,fail,not_real,fail,not_real,p_photo=0.048
FAIL,cat face portrait_1.jpg,fail,not_real,fail,not_real,p_photo=0.020
FAIL,cat face portrait_2.webp,fail,not_real,fail,not_real,p_photo=0.074
FAIL,chimpanzee face_1.jpg,fail,not_real,fail,not_real,p_photo=0.011
FAIL,chimpanzee face_2.jpg,fail,not_real,fail,not_real,p_photo=0.005
FAIL,dog face portrait_1.webp,fail,not_real,fail,not_real,p_photo=0.067
FAIL,dog face portrait_2.jpg,fail,not_real,fail,not_real,p_photo=0.057
FAIL,gorilla face_1.jpg,fail,not_real,fail,not_real,p_photo=0.025
FAIL,gorilla face_2.jpg,fail,not_real,fail,not_real,p_photo=0.052
FAIL,landscape no people_1.jpg,fail,no_face,fail,no_face,
FAIL,marble bust statue_1.jpg,fail,not_real,fail,not_real,p_photo=0.002
FAIL,marble bust statue_2.jpg,fail,not_real,fail,not_real,p_photo=0.016
FAIL,oil portrait painting_1.jpg,fail,not_real,fail,not_real,p_photo=0.040
FAIL,oil portrait painting_2.jpg,fail,not_real,fail,not_real,p_photo=0.120
FAIL,person eyes closed portrait_10.jpg,fail,expression,fail,expression,Please keep your eyes open
FAIL,person eyes closed portrait_11.jpg,fail,expression,fail,expression,Please keep your eyes open
FAIL,person eyes closed portrait_12.avif,fail,expression,fail,expression,Please keep your eyes open
FAIL,person head tilted portrait_13.webp,fail,pose,fail,pose,yaw=-5.9 pitch=-5.0
FAIL,person head tilted portrait_14.webp,fail,pose,fail,pose,yaw=1.2 pitch=-6.1
FAIL,person head tilted portrait_15.webp,fail,pose,fail,pose,yaw=1.3 pitch=16.2
FAIL,person head turned left portrait_1.webp,fail,pose,fail,pose,yaw=44.5 pitch=1.7
FAIL,person head turned left portrait_2.webp,fail,pose,fail,pose,yaw=45.3 pitch=1.8
FAIL,person head turned left portrait_3.jpg,fail,pose,fail,pose,yaw=39.8 pitch=-14.5
FAIL,person head turned right portrait_4.jpg,fail,pose,fail,no_face,
FAIL,person head turned right portrait_5.jpg,fail,pose,fail,no_face,
FAIL,person head turned right portrait_6.jpg,fail,pose,fail,pose,yaw=-35.1 pitch=3.5
FAIL,person laughing open mouth portrait_4.webp,fail,expression,fail,expression,Please close your mouth
FAIL,person laughing open mouth portrait_5.jpg,fail,expression,fail,expression,Please close your mouth
FAIL,person laughing open mouth portrait_6.jpg,fail,expression,fail,expression,Please close your mouth
FAIL,person looking down portrait_10.jpg,fail,pose,fail,expression,Please keep your eyes open
FAIL,person looking down portrait_11.jpg,fail,pose,fail,pose,yaw=4.6 pitch=28.4
FAIL,person looking down portrait_12.jpg,fail,pose,fail,pose,yaw=-1.2 pitch=32.6
FAIL,person looking up portrait_7.webp,fail,pose,pass,-,
FAIL,person looking up portrait_8.jpg,fail,pose,fail,pose,yaw=-0.6 pitch=-22.9
FAIL,person looking up portrait_9.avif,fail,pose,pass,-,
FAIL,person raised eyebrows portrait_7.webp,fail,expression,pass,-,
FAIL,person raised eyebrows portrait_8.jpg,fail,expression,pass,-,
FAIL,person raised eyebrows portrait_9.jpg,fail,expression,pass,-,
FAIL,person smiling face portrait_1.avif,fail,expression,fail,expression,Please relax your mouth
FAIL,person smiling face portrait_2.webp,fail,expression,fail,expression,Please relax your mouth
FAIL,person smiling face portrait_3.jpg,fail,expression,pass,-,
FAIL,person squinting eyes portrait_13.jpg,fail,expression,fail,expression,Please relax your eyebrows
FAIL,person squinting eyes portrait_14.webp,fail,expression,pass,-,
FAIL,person squinting eyes portrait_15.jpg,fail,expression,fail,expression,Please relax your eyes
FAIL,two people portrait_1.jpg,fail,no_face,fail,no_face,
FAIL,two people portrait_2.jpg,fail,no_face,fail,no_face,
FAIL,very blurry face photo_1.jpg,fail,no_face,fail,no_face,
FAIL,very blurry face photo_2.jpg,fail,no_face,pass,-,
EDGE,frontal face sunglasses portrait_1.jpg,edge,,pass,-,
EDGE,frontal face sunglasses portrait_2.webp,edge,,pass,-,
EDGE,frontal face sunglasses portrait_3.jpg,edge,,pass,-,
EDGE,slight head angle portrait_1.webp,edge,,pass,-,
EDGE,slight head angle portrait_2.jpg,edge,,pass,-,
EDGE,slight smile neutral portrait_1.jpg,edge,,pass,-,
EDGE,slight smile neutral portrait_2.png,edge,,pass,-,
EDGE,slight smile neutral portrait_3.jpg,edge,,pass,-,
EDGE,slight smile neutral portrait_4.png,edge,,pass,-,
EDGE,slightly raised eyebrows portrait_1.webp,edge,,fail,expression,Please relax your eyebrows
EDGE,slightly raised eyebrows portrait_2.jpg,edge,,pass,-,
EDGE,slightly turned face portrait_1.jpg,edge,,fail,expression,Please relax your lips
EDGE,slightly turned face portrait_2.jpg,edge,,fail,pose,yaw=-7.4 pitch=6.1
EDGE,slightly turned face portrait_3.jpg,edge,,pass,-,
